,ID,hourtime,daytime,new_date,new_days,new_months,new_years,Type,real_fatal
1200,2006.10.05,12,Afternoon,2006.10.05,05,Oct,2006,Unprovoked,NO
1201,2006.10.00.b,NoDoc,NotDoc,2006.10.00,NotDoc,Oct,2006,Unprovoked,NO
1202,2006.10.00.a,NoDoc,NotDoc,2006.10.00,NotDoc,Oct,2006,Unprovoked,YES
1203,2006.09.30,NoDoc,NotDoc,2006.09.30,30,Sep,2006,Invalid,NO
1204,2006.09.29,NoDoc,NotDoc,2006.09.29,29,Sep,2006,Unprovoked,NO
1205,2006.09.18.R,NoDoc,NotDoc,2006.09.18,18,Sep,2006,Provoked,NO
1206,2006.09.16,NoDoc,Morning,2006.09.16,16,Sep,2006,Unprovoked,NO
1207,2006.09.14,14,Afternoon,2006.09.14,14,Sep,2006,Unprovoked,NO
1208,2006.09.11,NoDoc,NotDoc,2006.09.11,11,Sep,2006,Unprovoked,NO
1209,2006.09.04,11,Morning,2006.09.04,04,Sep,2006,Invalid,YES
1210,2006.09.03.b,13,Afternoon,2006.09.03,03,Sep,2006,Unprovoked,YES
1211,2006.09.03.a,17,Sunset,2006.09.03,03,Sep,2006,Unprovoked,NO
1212,2006.09.02,17,Sunset,2006.09.02,02,Sep,2006,Unprovoked,NO
1213,2006.09.02,NoDoc,NotDoc,2006.09.02,02,Sep,2006,Unprovoked,NO
1214,2006.08.29.b,NoDoc,Sunset,2006.08.29,29,Ago,2006,Unprovoked,NO
1215,2006.08.29.a,16,Afternoon,2006.08.29,29,Ago,2006,Unprovoked,NO
1216,2006.08.27,18,Sunset,2006.08.27,27,Ago,2006,Unprovoked,NO
1217,2006.08.22.b,NoDoc,NotDoc,2006.08.22,22,Ago,2006,Invalid,YES
1218,2006.08.22.a,NoDoc,NotDoc,2006.08.22,22,Ago,2006,Invalid,YES
1219,2006.08.20.b,NoDoc,NotDoc,2006.08.20,20,Ago,2006,Sea Disaster,YES
1220,2006.08.20.a,11,Morning,2006.08.20,20,Ago,2006,Unprovoked,YES
1221,2006.08.15,NoDoc,NotDoc,2006.08.15,15,Ago,2006,Unprovoked,NO
1222,2006.08.13,11,Morning,2006.08.13,13,Ago,2006,Unprovoked,NO
1223,2006.08.00.b,12,Afternoon,2006.08.00,NotDoc,Ago,2006,Unprovoked,NO
1224,2006.08.00.a,NoDoc,NotDoc,2006.08.00,NotDoc,Ago,2006,Unprovoked,NO
1225,2006.07.31.R,NoDoc,NotDoc,2006.07.31,31,Jul,2006,Provoked,NO
1226,2006.07.31.a,16,Afternoon,2006.07.31,31,Jul,2006,Unprovoked,NO
1227,2006.07.29.b,NoDoc,Afternoon,2006.07.29,29,Jul,2006,Invalid,NO
1228,2006.07.29.a,NoDoc,NotDoc,2006.07.29,29,Jul,2006,Unprovoked,NO
1229,2006.07.28,16,Afternoon,2006.07.28,28,Jul,2006,Unprovoked,NO
1230,2006.07.25,13,Afternoon,2006.07.25,25,Jul,2006,Unprovoked,NO
1231,2006.07.23,NoDoc,NotDoc,2006.07.23,23,Jul,2006,Unprovoked,NO
1232,2006.07.17.R,NoDoc,NotDoc,2006.07.17,17,Jul,2006,Invalid,NO
1233,2006.07.17,10,Morning,2006.07.17,17,Jul,2006,Unprovoked,NO
1234,2006.07.13,NoDoc,NotDoc,2006.07.13,13,Jul,2006,Invalid,NO
1235,2006.07.12,13,Afternoon,2006.07.12,12,Jul,2006,Unprovoked,NO
1236,2006.07.10,NoDoc,NotDoc,2006.07.10,10,Jul,2006,Unprovoked,YES
1237,2006.07.09.b,17,Sunset,2006.07.09,09,Jul,2006,Unprovoked,NO
1238,2006.07.09.a,13,Afternoon,2006.07.09,09,Jul,2006,Unprovoked,NO
1239,2006.07.08.b,11,Morning,2006.07.08,08,Jul,2006,Unprovoked,NO
1240,2006.07.08.a,13,Afternoon,2006.07.08,08,Jul,2006,Unprovoked,NO
1241,2006.06.30.b,NoDoc,NotDoc,2006.06.30,30,Jun,2006,Unprovoked,NO
1242,2006.06.30.a,NoDoc,NotDoc,2006.06.30,30,Jun,2006,Unprovoked,NO
1243,2006.06.27,11,Morning,2006.06.27,27,Jun,2006,Unprovoked,NO
1244,2006.06.26,NoDoc,Afternoon,2006.06.26,26,Jun,2006,Provoked,NO
1245,2006.06.24,13,Afternoon,2006.06.24,24,Jun,2006,Unprovoked,NO
1246,2006.06.20,13,Afternoon,2006.06.20,20,Jun,2006,Unprovoked,NO
1247,2006.06.18,09,Morning,2006.06.18,18,Jun,2006,Unprovoked,YES
1248,2006.06.17,11,Morning,2006.06.17,17,Jun,2006,Unprovoked,NO
1249,2006.06.15,15,Afternoon,2006.06.15,15,Jun,2006,Unprovoked,NO
1250,2006.06.07,13,Afternoon,2006.06.07,07,Jun,2006,Unprovoked,NO
1251,2006.06.05,11,Morning,2006.06.05,05,Jun,2006,Unprovoked,NO
1252,2006.05.31,13,Afternoon,2006.05.31,31,May,2006,Unprovoked,NO
1253,2006.05.28,NoDoc,Afternoon,2006.05.28,28,May,2006,Provoked,NO
1254,2006.05.27,16,Afternoon,2006.05.27,27,May,2006,Unprovoked,NO
1255,2006.05.24,16,Afternoon,2006.05.24,24,May,2006,Provoked,NO
1256,2006.05.21,11,Morning,2006.05.21,21,May,2006,Unprovoked,NO
1257,2006.05.19,15,Afternoon,2006.05.19,19,May,2006,Unprovoked,NO
1258,2006.05.10,12,Afternoon,2006.05.10,10,May,2006,Unprovoked,NO
1259,2006.05.04,16,Afternoon,2006.05.04,04,May,2006,Unprovoked,NO
1260,2006.05.02,16,Afternoon,2006.05.02,02,May,2006,Provoked,NO
1261,2006.04.23.R,NoDoc,NotDoc,2006.04.23,23,Abr,2006,Invalid,YES
1262,2006.04.21,NoDoc,NotDoc,2006.04.21,21,Abr,2006,Unprovoked,NO
1263,2006.04.19,15,Afternoon,2006.04.19,19,Abr,2006,Unprovoked,NO
1264,2006.04.13,NoDoc,Afternoon,2006.04.13,13,Abr,2006,Provoked,NO
1265,2006.04.11,13,Afternoon,2006.04.11,11,Abr,2006,Unprovoked,NO
1266,2006.04.09.b,17,Sunset,2006.04.09,09,Abr,2006,Unprovoked,NO
1267,2006.04.09.a,NoDoc,Afternoon,2006.04.09,09,Abr,2006,Unprovoked,NO
1268,2006.04.03,12,Afternoon,2006.04.03,03,Abr,2006,Unprovoked,NO
1269,2006.03.28.R,NoDoc,NotDoc,2006.03.28,28,Mar,2006,Unprovoked,YES
1270,2006.03.23,11,Morning,2006.03.23,23,Mar,2006,Unprovoked,NO
1271,2006.03.22,NoDoc,NotDoc,2006.03.22,22,Mar,2006,Invalid,YES
1272,2006.03.19,18,Sunset,2006.03.19,19,Mar,2006,Unprovoked,NO
1273,2006.03.15,17,Sunset,2006.03.15,15,Mar,2006,Unprovoked,NO
1274,2006.02.27,16,Afternoon,2006.02.27,27,Feb,2006,Unprovoked,NO
1275,2006.02.23,NoDoc,Afternoon,2006.02.23,23,Feb,2006,Invalid,YES
1276,2006.02.13,11,Morning,2006.02.13,13,Feb,2006,Unprovoked,NO
1277,2006.02.12.b,NoDoc,NotDoc,2006.02.12,12,Feb,2006,Unprovoked,NO
1278,2006.02.12.a,12,Afternoon,2006.02.12,12,Feb,2006,Boat,NO
1279,2006.02.08,NoDoc,Afternoon,2006.02.08,08,Feb,2006,Unprovoked,NO
1280,2006.02.01.b,18,Sunset,2006.02.01,01,Feb,2006,Unprovoked,YES
1281,2006.02.01.a,NoDoc,Afternoon,2006.02.01,01,Feb,2006,Boat,NO
1282,2006.01.28.R,NoDoc,NotDoc,2006.01.28,28,Ene,2006,Boat,NO
1283,2006.01.25,14,Afternoon,2006.01.25,25,Ene,2006,Unprovoked,NO
1284,2006.01.23,NoDoc,NotDoc,2006.01.23,23,Ene,2006,Boat,NO
1285,2006.01.18,22,Night,2006.01.18,18,Ene,2006,Unprovoked,NO
1286,2006.01.15,11,Morning,2006.01.15,15,Ene,2006,Unprovoked,NO
1287,2006.01.11,NoDoc,Morning,2006.01.11,11,Ene,2006,Invalid,NO
1288,2006.01.07,17,Sunset,2006.01.07,07,Ene,2006,Unprovoked,YES
1289,2006.01.04,16,Afternoon,2006.01.04,04,Ene,2006,Unprovoked,NO
1290,2006.01.01,NoDoc,NotDoc,2006.01.01,01,Ene,2006,Unprovoked,NO
1291,2005.12.24,12,Afternoon,2005.12.24,24,Dic,2005,Unprovoked,NO
1292,2005.12.21,11,Morning,2005.12.21,21,Dic,2005,Unprovoked,NO
1293,2005.12.20,13,Afternoon,2005.12.20,20,Dic,2005,Boat,NO
1294,2005.12.11,11,Morning,2005.12.11,11,Dic,2005,Unprovoked,NO
1295,2005.12.05.R,15,Afternoon,2005.12.05,05,Dic,2005,Boat,NO
1296,2005.11.29.R,NoDoc,NotDoc,2005.11.29,29,Nov,2005,Unprovoked,NO
1297,2005.11.27,13,Afternoon,2005.11.27,27,Nov,2005,Unprovoked,NO
1298,2005.11.25.c,NoDoc,NotDoc,2005.11.25,25,Nov,2005,Boat,NO
1299,2005.11.25.b,18,Sunset,2005.11.25,25,Nov,2005,Unprovoked,NO
1300,2005.11.25.a,11,Morning,2005.11.25,25,Nov,2005,Unprovoked,NO
1301,2005.11.24,20,Sunset,2005.11.24,24,Nov,2005,Unprovoked,NO
1302,2005.11.21,NoDoc,Afternoon,2005.11.21,21,Nov,2005,Unprovoked,NO
1303,2005.11.20,14,Afternoon,2005.11.20,20,Nov,2005,Unprovoked,NO
1304,2005.11.16.R,NoDoc,NotDoc,2005.11.16,16,Nov,2005,Boat,NO
1305,2005.11.15,14,Afternoon,2005.11.15,15,Nov,2005,Provoked,NO
1306,2005.11.12,13,Afternoon,2005.11.12,12,Nov,2005,Unprovoked,NO
1307,2005.11.02.b,16,Afternoon,2005.11.02,02,Nov,2005,Unprovoked,NO
1308,2005.11.02.a,07,Morning,2005.11.02,02,Nov,2005,Unprovoked,NO
1309,2005.10.29,NoDoc,NotDoc,2005.10.29,29,Oct,2005,Unprovoked,NO
1310,2005.10.25,08,Morning,2005.10.25,25,Oct,2005,Unprovoked,NO
1311,2005.10.22,NoDoc,Morning,2005.10.22,22,Oct,2005,Unprovoked,NO
1312,2005.10.21,11,Morning,2005.10.21,21,Oct,2005,Unprovoked,NO
1313,2005.10.19,10,Morning,2005.10.19,19,Oct,2005,Unprovoked,NO
1314,2005.10.15,17,Sunset,2005.10.15,15,Oct,2005,Provoked,NO
1315,2005.10.13,18,Sunset,2005.10.13,13,Oct,2005,Unprovoked,NO
1316,2005.10.11,15,Afternoon,2005.10.11,11,Oct,2005,Unprovoked,NO
1317,2005.10.06,16,Afternoon,2005.10.06,06,Oct,2005,Unprovoked,NO
1318,2005.10.03,NoDoc,NotDoc,2005.10.03,03,Oct,2005,Unprovoked,NO
1319,2005.10.01,15,Afternoon,2005.10.01,01,Oct,2005,Unprovoked,NO
1320,2005.09.27.R,NoDoc,NotDoc,2005.09.27,27,Sep,2005,Unprovoked,NO
1321,2005.09.24,12,Afternoon,2005.09.24,24,Sep,2005,Unprovoked,NO
1322,2005.09.23,NoDoc,Morning,2005.09.23,23,Sep,2005,Unprovoked,NO
1323,2005.09.22,07,Morning,2005.09.22,22,Sep,2005,Invalid,NO
1324,2005.09.20,16,Afternoon,2005.09.20,20,Sep,2005,Unprovoked,NO
1325,2005.09.11,14,Afternoon,2005.09.11,11,Sep,2005,Unprovoked,YES
1326,2005.09.07,NoDoc,Sunset,2005.09.07,07,Sep,2005,Unprovoked,NO
1327,2005.09.05,15,Afternoon,2005.09.05,05,Sep,2005,Unprovoked,NO
1328,2005.09.04.a,15,Afternoon,2005.09.04,04,Sep,2005,Unprovoked,NO
1329,2005.09.02.b,11,Morning,2005.09.02,02,Sep,2005,Unprovoked,NO
1330,2005.09.02.a,NoDoc,NotDoc,2005.09.02,02,Sep,2005,Provoked,YES
1331,2005.08.24.b,16,Afternoon,2005.08.24,24,Ago,2005,Unprovoked,YES
1332,2005.08.24.a,11,Morning,2005.08.24,24,Ago,2005,Unprovoked,NO
1333,2005.08.22,NoDoc,Afternoon,2005.08.22,22,Ago,2005,Invalid,NO
1334,2005.08.21,NoDoc,Morning,2005.08.21,21,Ago,2005,Unprovoked,NO
1335,2005.08.19,20,Sunset,2005.08.19,19,Ago,2005,Unprovoked,NO
1336,2005.08.14,NoDoc,NotDoc,2005.08.14,14,Ago,2005,Invalid,NO
1337,2005.08.12,11,Morning,2005.08.12,12,Ago,2005,Unprovoked,NO
1338,2005.08.06,09,Morning,2005.08.06,06,Ago,2005,Unprovoked,NO
1339,2005.08.01,NoDoc,NotDoc,2005.08.01,01,Ago,2005,Invalid,YES
1340,2005.07.27,18,Sunset,2005.07.27,27,Jul,2005,Unprovoked,NO
